match_id,radiant_win,radiant_team,dire_team
8988829630,True,"106,10,9,98,93","86,69,15,57,18"
8988829622,False,"30,4,3,2,22","111,101,74,53,123"
8988829610,True,"85,35,107,1,26","11,45,16,97,14"
8988829584,True,"114,119,22,107,25","14,88,41,90,40"
8988829556,True,"28,136,11,14,105","5,32,9,20,15"
8988829538,False,"137,6,121,105,8","44,84,95,70,86"
8988829518,False,"114,110,14,9,93","84,74,108,67,32"
8988829516,True,"34,6,87,102,100","145,96,84,46,109"
8988829506,True,"62,39,84,44,112","64,22,71,1,97"
8988829485,True,"112,8,15,86,107","14,6,21,36,96"
8988829466,False,"109,19,97,101,112","27,110,67,76,99"
8988829461,False,"100,21,20,86,93","44,119,33,105,101"
8988829443,False,"55,35,84,31,21","62,108,42,15,22"
8988829439,True,"62,71,53,105,37","8,41,68,47,4"
8988829416,True,"43,42,33,64,48","81,17,5,102,8"
8988829407,True,"12,32,14,76,16","11,35,45,26,69"
8988829401,False,"74,62,114,112,59","6,14,32,72,2"
8988829348,True,"109,84,86,37,19","39,27,60,14,44"
8988829255,True,"81,101,21,93,62","8,107,22,75,11"
8988829148,False,"41,34,105,121,69","8,108,30,20,84"
8988829109,False,"2,62,64,35,14","119,67,36,53,104"
8988829073,False,"74,131,109,35,99","25,44,97,62,84"
8988829039,True,"75,62,14,109,131","98,8,27,129,47"
8988829037,False,"22,108,44,106,62","8,84,2,107,136"
8988829019,False,"26,97,85,49,12","31,21,7,8,29"
8988828957,False,"54,71,11,112,33","59,99,5,104,105"
8988828953,False,"56,55,14,104,54","71,84,8,25,119"
8988828950,True,"2,57,26,21,11","1,27,36,51,97"
8988828929,True,"2,9,23,87,109","35,137,123,145,105"
8988828886,False,"20,11,64,30,88","82,59,6,93,2"
8988828844,False,"1,79,68,28,9","7,45,14,56,4"
8988828800,True,"2,34,22,112,54","21,25,106,83,84"
8988828779,True,"85,35,1,30,26","86,28,67,16,84"
8988828721,False,"27,145,106,23,100","75,7,5,41,74"
8988828695,True,"75,18,101,49,87","22,44,99,27,23"
8988828694,False,"111,22,35,67,138","30,3,97,109,28"
8988828659,True,"21,74,3,135,18","106,14,84,64,48"
8988828611,True,"73,72,9,6,74","41,30,42,53,20"
8988828590,False,"22,64,19,30,4","32,45,71,111,34"
8988828580,True,"50,54,107,30,60","90,96,83,8,31"
8988828570,False,"17,56,47,3,102","137,84,71,21,25"
8988828509,False,"109,68,83,11,1","64,71,48,8,76"
8988828490,True,"17,14,26,138,84","22,12,27,20,99"
8988828454,False,"31,53,43,67,86","131,11,2,128,21"
